,closestGlovoCity,total_observations,mean_age,mean_female_share,share_España,share_Marruecos,share_Ecuador,share_Colombia,share_Rumanía,share_Argentina,share_Francia,share_Perú,share_Alemania,share_Reino_Unido,share_Venezuela,share_Bolivia,share_Cuba,share_República_Dominicana,share_Brasil,share_Uruguay,share_China,share_Italia,share_Bulgaria,share_Chile,glovoCityCoords,autonomousCommunity,index_antiimmigration,index_xenophobia,index_all
19,Albacete,17612.0,39.94679763797411,0.5149330002271179,0.959629797865092,0.0026118555530320236,0.0030093118328412445,0.006359300476947536,0.008630479218714513,0.0014762661821485351,0.0005677946854417443,0.0011923688394276629,0.00011355893708834885,0.0002271178741766977,0.00028389734272087216,0.004599136952078128,0.0002271178741766977,0.00028389734272087216,0.00028389734272087216,5.6779468544174426e-05,0.0007381330910742676,0.0004542357483533954,0.0013059277765160118,0.000397456279809221,"[38.9950921, -1.8559154]",Castilla-La Mancha,0.023379301848226997,-0.06705039662279612,0.004132963678180221
20,Guadalajara,6724.0,42.14991076740036,0.5223081499107673,0.9452706722189174,0.004164187983343248,0.006395002974419988,0.004164187983343248,0.008774538964901844,0.001189767995240928,0.000297441998810232,0.003271861986912552,0.000446162998215348,0.001189767995240928,0.000594883997620464,0.005353955978584176,0.000892325996430696,0.001338488994646044,0.001784651992861392,0.0,0.00148720999405116,0.000297441998810232,0.0037180249851279,0.000594883997620464,"[40.7399963, -2.505930025884726]",Castilla-La Mancha,0.023379301848226997,-0.06705039662279612,0.004132963678180221
21,Alcala de Henares,18549.0,39.60736427839776,0.5075745323198017,0.9168688338994015,0.0031268531996334033,0.0032346757237586934,0.006523262709580031,0.03175373335489784,0.0016712491239419915,0.0012938702895034773,0.0032346757237586934,0.0008625801930023182,0.0007008464068143835,0.0005391126206264489,0.0006469351447517387,0.0007008464068143835,0.0019408054342552159,0.001401692813628767,0.00032346757237586933,0.0012938702895034773,0.0012938702895034773,0.004097255916761011,0.0011860477653781874,"[40.4818396, -3.3644973]",Comunidad de Madrid,-0.07223082912290349,-0.24512908202107514,-0.12197888702472201
22,Brunete,9220.0,37.97255965292842,0.5218004338394794,0.9045553145336226,0.013123644251626898,0.006073752711496746,0.00911062906724512,0.006182212581344902,0.00596529284164859,0.0014099783080260303,0.01106290672451193,0.0016268980477223427,0.003579175704989154,0.001843817787418655,0.007700650759219089,0.0010845986984815619,0.002928416485900217,0.00032537960954446855,0.0008676789587852494,0.0006507592190889371,0.003579175704989154,0.0015184381778741865,0.0004338394793926247,"[40.4050499, -3.9979912]",Comunidad de Madrid,-0.07223082912290349,-0.24512908202107514,-0.12197888702472201
23,Colmenar Viejo,20275.0,38.86747225647349,0.5209371146732429,0.9215782983970406,0.008335388409371147,0.007694204685573366,0.008236744759556103,0.005770653514180025,0.0034525277435265103,0.0011837237977805179,0.004241676942046856,0.0016276202219482122,0.0027127003699136867,0.003403205918618989,0.0019235511713933415,0.0017755856966707767,0.0016276202219482122,0.0010850801479654747,0.0009864364981504315,0.0004932182490752158,0.00374845869297164,0.005228113440197287,0.0004932182490752158,"[40.6587726, -3.7659722]",Comunidad de Madrid,-0.07223082912290349,-0.24512908202107514,-0.12197888702472201
24,Fuenlabrada,41314.0,40.05216149489277,0.5121992544900034,0.9357118652272838,0.005905988284842911,0.009004211647383454,0.008495909376966647,0.008762162947184973,0.0010166045408336157,0.0006293266205160479,0.005131432444207775,0.00033886818027787193,0.00012102435009923996,0.0007745558406351358,0.0013554727211114877,0.0015249068112504235,0.0011134240209130077,0.0011376288909328556,0.0003630730502977199,0.0015733165512901196,0.0008955801907343758,0.0023478723919252553,0.0007503509706152878,"[40.282476, -3.7923422]",Comunidad de Madrid,-0.07223082912290349,-0.24512908202107514,-0.12197888702472201
25,Madrid,232122.0,44.40056091193424,0.5375966086799183,0.9152083817992263,0.002847640464927926,0.014526843642567271,0.006961856265239831,0.0062682554863390805,0.0023048224640490776,0.0027700950362309477,0.007474517710514298,0.0016844590344732512,0.0012622672560119248,0.002076494257330197,0.003993589577894383,0.0016499943994968164,0.00391173606982535,0.0014604389071264249,0.00038341906411283724,0.0018740145268436425,0.0029208778142528497,0.0016198378438924358,0.0009994744143166094,"[40.4167047, -3.7035825]",Comunidad de Madrid,-0.07223082912290349,-0.24512908202107514,-0.12197888702472201
26,Madrid Norte,12963.0,39.07822263364962,0.5206356553266991,0.9278716346524725,0.0018514232816477668,0.0072514078531204194,0.005939983028619918,0.0035485612898248863,0.0026999922857363265,0.0023142791020597086,0.006094268302090565,0.00277713492247165,0.0019285659183830904,0.0016199953714417959,0.0026999922857363265,0.0008485690040885598,0.0032399907428835918,0.001388567461235825,0.00030857054694129443,0.0014657100979711486,0.0030857054694129445,0.0008485690040885598,0.002391421738795032,"[40.484672599999996, -3.6947355654965763]",Comunidad de Madrid,-0.07223082912290349,-0.24512908202107514,-0.12197888702472201
27,Mostoles,33573.0,40.72552348613469,0.5155035296220177,0.9389986000655288,0.006016739641974206,0.007059244035385577,0.0050933786078098476,0.007595389151997141,0.0024126530247520327,0.0009233610341643582,0.004795520209692312,0.0008042176749173443,0.00047657343698805587,0.0013701486313406606,0.0010127185535996187,0.0008637893545408513,0.0017275787090817027,0.0013999344711524142,0.0005957167962350699,0.001757364548893456,0.0011914335924701398,0.0011318619128466328,0.0011616477526583862,"[40.3238525, -3.8649214]",Comunidad de Madrid,-0.07223082912290349,-0.24512908202107514,-0.12197888702472201
28,Parla,15163.0,37.847457627118644,0.5173778276066742,0.9165732374859856,0.011739101760865265,0.013651652047747808,0.007254501088175163,0.01239860185979028,0.0021104003165600474,0.0005935500890325133,0.00402295060344259,0.0003297500494625074,0.0002638000395700059,0.0007254501088175163,0.0018466002769900415,0.0011211501681725252,0.003825100573765086,0.0003957000593550089,0.0005276000791400118,0.001648750247312537,0.0011871001780650267,0.0007914001187100178,0.0009892501483875222,"[40.2373952, -3.7718902]",Comunidad de Madrid,-0.07223082912290349,-0.24512908202107514,-0.12197888702472201
