,category
RISTORANTIMILANO,1212
MGIFTS_RO,1196
MEDIODÍA-HEALTHY,1188
NEW_RESTAURANTS_HR,1177
ELECTRO_RO,1174
STRANGERTHINGS,1159
SANTA-SOS-EC,1153
XXXXXX%QUIERO%%REGALO%,1136
H3,1131
CVIJEĆE,1110
HEALTHY,1091
KFC_TEMPORARY,1091
GLOVO-DRINKS_GH,1075
LATELOVERS,1069
XXXXXX%SNACKS%%SNACKS%CI,1044
ICE-CREAM-GEO,1040
PANS&COMPANY,1039
GIRARROSTI-SANTA-RITA,1033
JACK-DANIELS-GEO,1022
FLORERIAS_SANVALENTIN_PE,1013
PizzaHaftasonu,999
VALENTINES-SCHEDULED,995
GLOVO-CHRISTMAS,993
Pepsi,966
TIENDAS_SANVALENTIN_PE,963
BURGER-KING_HR,953
VGIFTS_RO,949
GROCERIES_SI,949
COCA-COLA-PAN,943
COMIDA1,942
BUBBLE-FNAC,941
SHELL_SELECT,937
pizzaweekend_MA,936
PARDOS_PE,933
FESTA-DELLA-MAMMA,931
29MINIT,920
SUPERMERCADO-SV,914
DONBELISARIO_PE,914
STRWRS,911
DWICH-MA,895
AROMATA,888
NAVIDAD_LATAM,885
STAYHOME_LATAM,878
PROMO_CI,871
PROJETO_VERÃO,862
CHINAWOK_PE,860
PROGRAMADOS-MADRE-2021,857
EMPIK-PL,857
COPADELREY,857
ADVENT_HR,853
VIDEOJUEGOS-ELCORTEINGLÉS,849
Potter,838
VIVA-GYE-2X1,833
OFFERS_RO,822
AÇOUGUE,816
WATER-&-GAS,807
POCHOCLOS_BUE,802
MACHA,801
PREMIUM-CEAM,791
XXXXXX%SNACKS%%BREAKFAST%MA,790
WENDYS_CL,788
XXXXXX%BAKERY%%BAKERY%MA,786
ROSCONES,784
GROCERIES_BA,778
FRANPRIX,776
BURGER-DAY-EC,775
AÑO-NUEVO-CHINO,775
WINE-LIBRARY,766
ADVENTSKI-BUBBLE-HR,740
GLOVO-DRINKS,728
2X1-BOLÓN,726
CHAMPIONS LEAGUE,719
BLACKFRIDAYFR,710
CORONA-UA,708
BABY,706
MESOPOTAMIA_RO,688
NY-STORES-UA,686
HAMBURGUER_PERFEITO,679
EUROVISIÓN,677
FETEDESMERES,677
MARTIE-RO,674
Starbucks,673
GALETTEDESROIS,670
COCACOLA_SDQ,669
INA-HR,657
PIZZA-HUT,647
SHOPS_BG,646
DARMOWADOSTAWAKRA,639
MARCHEDENOEL,637
35ORFREE,636
SHOPS-AND-GIFTS_ME,636
BABY-PT,626
NOCHE-DECAMPEONES,626
ELECTRONICA-BCN,622
DIAS_DE_DULZURA_AR,618
NOODLEPACK_RO,614
Valentin_MA,613
SANMARTIN,607
FLORES,588
RETIROENTIENDA_PE,587
MARKETNAVIDAD_PE,584
DIA_DE_LA_MADRE,564
XXXXXX%PHARMACY%%PHARMACY%GEO,541
HALLOWEEN,539
DONACIONECONOMICA_PE,531
XXXXXX%RESTAURANTS%SOLD%VISA%GEO,529
XXXXXX%RESTAURANTS%%KFC_HR%,529
SHOPS-AND-GIFTS_BA,525
GOG_GEO,519
HEALTH&BEAUTY_MD,506
GAS-KE,492
HAMBURGUES,491
PEDIDOS-LIVE-QD,488
PICKUP_PE,487
SWEET_DAY,486
FESTA DELLA DONNA,481
LA-CURVA,475
ASIANWKND,470
PARTY_HR,461
Boutique_CAS,452
LAVAZZA-GEORGIA,451
MIX-&-PIDE,447
STAYHOME_PE,438
COCA_COLA_RS,429
REGALOS_PE,425
VALENTINESDAY,424
GLOVOWEEN,416
MUNDIAL2018PT,409
FERRERO_AR,409
DONACIONES_LATAM,402
CANICULE,395
STARBUCKS-PL,393
RED_BULL,389
GEORGIAS-NATURALE,386
Cigarro,386
XXXXXX%ALCOHOL%%DRINKS%GEO,381
PASTAWKD,376
DOMINOS_RO,372
PHARMACYPTRX,363
SHOPS,363
RAMADAN,361
LOCAL-MARKET-UG,360
PET-SHOP_RO,360
DOSTAWA-ZA-DWA,358
PICNIC,355
ORIENTALWEEK_MA,351
BUN-BURGERS,342
BACKUS_PE,334
ANNIVERSARY,333
FESBAL	,330
GOT_MA,330
SHOPPING_RO,330
SAN-VALENTINO,329
ALGIDA,321
WENDY'S_GEO,320
PRANZO,310
BURGER_DAY,308
ALTA-CUCINA-IT,305
COPPAITALIA,299
COFFEEDREAM_RS,296
DESAYUNO,285
SUMMERWELL_RO,284
WELCOME-SELF-CARE,276
SOS Vuelta a Clases,273
FASTFOOD_RO,272
QUE-VIVA-QUITO!,272
SUMMER-IS-COMING,269
SNACKS_BA,268
GOMORRA,268
SUSHISHOPFR,266
REGALAAPAPA_PE,265
BEST PARTNERS,261
NAMORADOS,260
ELECTRONICAYLIBROS_PE,259
POLLEO-SPORT,258
SUMMER-PROMO,257
FESTA DEL PAPA',254
LINDA-NAVIDAD,253
SNACKS_SI,249
WOMAN'S-DAY-UA,249
XXXXXX%SHOPS%%GIFTS_BUC%,244
Ben&Jerry's,241
XXXXXX%SHOPS%%MARKET_BUC%,238
SERVICOS-PT,234
REGALO.SOLIDARIO,233
FEATUREDTR,231
PETS-PT,230
DONATION-MA,229
NUTELLA-UA,229
XXXXXX%HEALTH-&-BEAUTY%%DRUGSTOR,215
PromoMancare,214
DIADELAMIGO_LATAM,213
PAPIERNIK,213
SEXWEEK,209
GOT_CL,208
PETLATAM,208
ALTACOCINAPROGRAMBCN,206
GLOVOEXPRESS_UA,205
NARCOS,205
BEER_PT,204
VALENTINE-KE,201
GLOVO-PREMIUM-SELECTIONS,200
TODOA1290_PE,200
HOGAR-BCN,199
GLOVO-LUNCH-BUE,195
FLOWERS_RS,195
SLASTICE,194
DONACIONES_PE,194
PAQUES,192
PROMOS-WOW,190
FOND-5.5,190
SALUDABLE,188
XXXXXX%SHOPS%%STORES%GEO,187
EURO_GROCERIES_HR,186
DIADELPADRE,185
L'ORÉAL,185
WORLDCUPCAI,183
ALTACOCINAPROGRAMADOS,180
XXXXXX%SUPERMARKET%%SUPERMARKET-,177
ALMOÇOS-SAUDÁVEIS,177
XXXXXX%SUPERMARKET%%GROCERIES-KZ,176
KFC_PL,176
BREAKFAST1,175
REGALOSOLIDARIO,174
SANTVALENTINN,173
XMAS_RO,171
SPESA&FARMACIE,171
SHOP-HR,169
J'AI FROID,168
MCDONALDS-PL,168
HAPPYHOUR1,160
PROMOTIONS-SSA,157
SANVALENTINLATAM,157
GLOPARTY_RO,154
COFFEE-AND-SNACKS_BG,154
DIADAMÃE,153
IdéesCadeaux_CAS,152
FINAL_HEINEKEN,151
PROMOALERTA_PE,148
DESPERADOS_RO,147
GREEN-GROCERY-KE,146
BEBIDAS_BR,145
CHANDELEUR,145
Drinks_BUC,142
GASTROAPLAUSOS,142
MARCH-GE,142
HALLOWEEN_ESPAÑA,142
TAÇA,142
MORDISCO,140
